Country Name,Country Code,Region,Year,GDP_Per_Capita,GDP_Per_Capita_Growth_Annual_Pct,Female_PostSecondary_Education_Pct,Male_PostSecondary_Education_Pct,Labour_Force_Participation_Female_Pct,Labour_Force_Participation_Male_Pct,Maternal_Mortality_Ratio_Per_100k,Women_in_Parliament_Pct,Adult_Literacy_Rate_Female_Pct,Adult_Literacy_Rate_Male_Pct,Adult_Literacy_Rate_Combined_Pct,Gender_Discrimination_Law,Gender_Discrimination_Law_Binary,Maternity_Leave_Days,Paternity_Leave_Days,Shared_Parental_Leave_Days,Youth_Not_In_Edu_Employment_Training_Female_Pct,Youth_Not_In_Edu_Employment_Training_Male_Pct,Youth_Not_In_Edu_Employment_Training_Total_Pct,Unemployment_Female_Pct,Unemployment_Male_Pct,Unemployment_Total_Pct,wei_edu_score,wei_econ_score,wei_safety_score,wei_score,Financial_Inclusion_Female,Financial_Inclusion_Male
Antigua and Barbuda,ATG,Latin America & Caribbean,2018,18273.42707,6.174489769,28.88138651,21.28926015,0,0,31,11.11111111,0,0,0,Yes,1,91,0,0,0,0,0,0,0,0,0.14440693255,0.3333333333333333,0.7340696266572826,0.3281466797439005,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,2019,18896.37218,2.677613194,30.102770105,24.314054085000002,0,0,32,11.11111111,0,0,0,Yes,1,91,0,0,0,0,0,0,0,0,0.150513850525,0.3333333333333333,0.7338472561880809,0.33267509948849544,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,2020,15369.60823,-19.29454628,30.102770105,24.314054085000002,0,0,35,11.11111111,0,0,0,Yes,1,91,0,0,0,0,0,0,0,0,0.150513850525,0.3333333333333333,0.7331801447804759,0.332574261684412,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,2021,17348.6007,7.583674814,30.102770105,24.314054085000002,0,0,32,11.11111111,0,0,0,Yes,1,91,0,0,0,0,0,0,0,0,0.150513850525,0.3333333333333333,0.7338472561880809,0.33267509948849544,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,2022,20105.19891,8.530771197,30.102770105,24.314054085000002,0,0,36,11.11111111,0,0,0,Yes,1,91,0,0,0,0,0,0,0,0,0.150513850525,0.3333333333333333,0.7329577743112742,0.3325406354907595,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,2023,21494.5474,1.904886418,31.3241537,27.33884802,0,0,35,5.555555556,0,0,0,Yes,1,98,0,0,0,0,0,0,0,0,0.1566207685,0.3333333333333333,0.6961431077538092,0.3312395667048496,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,2024,23725.79037,3.820191439,30.102770105,24.314054085000002,0,0,32.22222222222222,5.555555556,0,0,0,Yes,1,98,0,0,0,0,0,0,0,0,0.150513850525,0.3333333333333333,0.6967608035015918,0.32697381482839033,0,0
Argentina,ARG,Latin America & Caribbean,2015,13679.6265,1.660912538,0,0,47.498,71.478,39,40.994583847777776,99.16000366,99.12999725,99.1399993896484,Yes,1,90,2,0,23.889,15.307,19.504,8.706,6.798,7.579,0.4958000183,0.6462940476190476,0.9315138144888544,0.668305955816422,0,0
Argentina,ARG,Latin America & Caribbean,2016,12699.96231,-3.024500956,0,0,47.582,70.948,40,35.79766537,99.16000366,99.12999725,99.1399993896484,Yes,1,90,2,0,23.39,15.655,19.437,9.224,7.288,8.085,0.4958000183,0.6490202380952381,0.8966453208344675,0.6607875038390671,0,0
Argentina,ARG,Latin America & Caribbean,2017,14532.50093,1.916396081,0,0,47.666,70.414,38,38.13229572,99.16000366,99.12999725,99.1399993896484,Yes,1,90,2,0,22.834,15.813,19.246,9.485,7.544,8.347,0.4958000183,0.6520178571428571,0.9126542641062042,0.6657187237906894,0,0
Argentina,ARG,Latin America & Caribbean,2018,11752.79989,-3.415536839,0,0,49.146,70.466,38,38.91050584,99.16000366,99.12999725,99.1399993896484,Yes,1,90,2,0,22.599,15.602,19.023,10.563,8.246,9.22,0.4958000183,0.6593035714285714,0.9178423315728708,0.6694528840317141,0,0
Argentina,ARG,Latin America & Caribbean,2019,9955.974787,-2.695067235,0,0,50,70.981,36,40.15748031,99.16000366,99.12999725,99.1399993896484,Yes,1,90,2,0,21.716,16.85,19.228,10.718,9.202,9.843,0.4958000183,0.6670666666666667,0.9266002356446076,0.6742010037386382,0,0
Argentina,ARG,Latin America & Caribbean,2020,8535.59938,-10.33610969,0,0,46.486,65.925,40,40.85603113,99.16000366,99.12999725,99.1399993896484,Yes,1,90,2,0,23.693,21.024,22.328,12.394,10.778,11.461,0.4958000183,0.6430107142857142,0.9303677592344676,0.6668985912146939,0,0
Argentina,ARG,Latin America & Caribbean,2021,10738.01792,10.14855999,0,0,50.26,70.836,76,44.74708171,99.16000366,99.12999725,99.1399993896484,Yes,1,90,2,0,18.571,13.777,16.118,9.852,7.915,8.736,0.4958000183,0.6831261904761905,0.9483027595432066,0.6848332367812137,0,0
Argentina,ARG,Latin America & Caribbean,2022,13935.68111,5.048195323,0,0,51.868,71.453,39,44.74708171,99.16000366,99.12999725,99.1399993896484,Yes,1,90,2,0,17.845,13.991,15.872,7.682,6.145,6.805,0.4958000183,0.6932833333333334,0.9565304669036692,0.6901953598979702,0,0
Argentina,ARG,Latin America & Caribbean,2023,14187.48273,-1.892949797,0,0,52.957,71.944,33,43.19066148,99.16000366,99.12999725,99.1399993896484,Yes,1,90,2,0,16.738,13.4,15.028,6.793,5.641,6.139,0.4958000183,0.7030922619047619,0.9474885548522126,0.6912433131184885,0,0
